2013/03/28,SCH,FVI,60,YR-MDI
2013/03/28,SCH,NDC,60,YR-MDI
2013/03/28,SCH,BOB,60,YR-MDI
2013/03/29,PAG,SRS,100,YR-MDI
2013/03/29,PAG,IGI,100,YR-MDI
2013/03/29,FGL,CND,90,YR-MDG
2013/03/29,FGL,CMR,85,YR-MDG
2013/04/01,CIO,NDC,60,YR-MDI
2013/04/01,FGL,CMR,60,YR-MDG
2013/04/01,CIO,BOB,60,YR-MDI
2013/04/01,FGL,CND,60,YR-MDG
2013/04/01,CIO,FVI,60,YR-MDI
2013/04/01,FGL,ORI,90,YR-MDG
2013/04/01,PAG,TCV,90,YR-MDI
2013/04/01,PAG,SRS,45,YR-MDI
2013/04/01,PAG,IGI,50,YR-MDI
2013/04/02,CIO,BOB,60,YR-MDI
2013/04/02,SCH,CMR,60,YR-MDG
2013/04/02,CIO,FVI,60,YR-MDI
2013/04/02,SCH,ORI,60,YR-MDG
2013/04/02,CIO,NDC,60,YR-MDI
2013/04/02,SCH,CND,60,YR-MDG
2013/04/02,PAG,SRS,60,YR-MDI
2013/04/02,PAG,TCV,60,YR-MDI
2013/04/02,PAG,IGI,60,YR-MDI
2013/04/05,FGL,ORI,60,YR-MDG
2013/04/05,CIO,FVI,63,YR-MDI
2013/04/05,FGL,CND,60,YR-MDG
2013/04/05,CIO,NDC,60,YR-MDI
2013/04/05,FGL,CMR,60,YR-MDG
2013/04/05,CIO,BOB,60,YR-MDI
2013/04/05,PAG,IGI,60,YR-MDI
2013/04/05,PAG,TCV,60,YR-MDI
2013/04/05,PAG,SRS,60,YR-MDI
2013/04/06,CIO,NDC,60,YR-MDI
2013/04/06,FGL,CND,60,YR-MDG
2013/04/06,FGL,CMR,60,YR-MDG
2013/04/06,CIO,BOB,60,YR-MDI
2013/04/06,CIO,FVI,60,YR-MDI
2013/04/06,FGL,ORI,60,YR-MDG
2013/04/06,PAG,SRS,60,YR-MDI
2013/04/06,PAG,IGI,60,YR-MDI
2013/04/06,PAG,TCV,65,YR-MDI
2013/04/08,PAG,TCV,60,YR-MDI
2013/04/08,PAG,SRS,60,YR-MDI
2013/04/08,FGL,CMR,60,YR-MDG
2013/04/08,PAG,IGI,70,YR-MDI
2013/04/08,FGL,ORI,60,YR-MDG
2013/04/08,FGL,CND,65,YR-MDG
2013/04/08,CIO,BOB,60,YR-MDI
2013/04/08,CIO,FVI,60,YR-MDI
2013/04/08,CIO,NDC,60,YR-MDI
2013/04/09,PAG,IGI,60,YR-MDI
2013/04/09,FGL,ORI,60,YR-MDG
2013/04/09,FGL,CND,60,YR-MDG
2013/04/09,PAG,TCV,60,YR-MDI
2013/04/09,PAG,SRS,70,YR-MDI
2013/04/09,FGL,CMR,65,YR-MDG
2013/04/09,CIO,BOB,60,YR-MDI
2013/04/09,CIO,FVI,60,YR-MDI
2013/04/09,CIO,NDC,63,YR-MDI
2013/04/10,FGL,CND,60,YR-MDG
2013/04/10,PAG,IGI,70,YR-MDI
2013/04/10,FGL,CMR,60,YR-MDG
2013/04/10,PAG,SRS,70,YR-MDI
2013/04/10,FGL,ORI,65,YR-MDG
2013/04/10,PAG,TCV,60,YR-MDI
2013/04/10,CIO,NDC,63,YR-MDI
2013/04/10,CIO,BOB,60,YR-MDI
2013/04/10,CIO,FVI,60,YR-MDI
2013/04/11,PAG,TCV,90,YR-MDI
2013/04/11,FGL,CMR,60,YR-MDG
2013/04/11,FGL,ORI,60,YR-MDG
2013/04/11,PAG,SRS,60,YR-MDI
2013/04/11,PAG,IGI,60,YR-MDI
2013/04/11,FGL,CND,65,YR-MDG
2013/04/11,CIO,FVI,60,YR-MDI
2013/04/11,CIO,BOB,60,YR-MDI
2013/04/11,CIO,NDC,60,YR-MDI
2013/04/12,PAG,IGI,60,YR-MDI
2013/04/12,FGL,ORI,60,YR-MDG
2013/04/12,PAG,TCV,90,YR-MDI
2013/04/12,FGL,CND,60,YR-MDG
2013/04/12,PAG,SRS,60,YR-MDI
2013/04/12,FGL,CMR,60,YR-MDG
2013/04/12,CIO,FVI,65,YR-MDI
2013/04/12,CIO,NDC,60,YR-MDI
2013/04/12,CIO,BOB,60,YR-MDI
2013/04/13,FGL,NDC,60,YR-MDI
2013/04/13,FGL,BOB,60,YR-MDI
2013/04/13,FGL,FVI,60,YR-MDI
2013/04/13,FGL,CMR,90,YR-MDG
2013/04/13,FGL,ORI,90,YR-MDG
2013/04/15,CIO,BOB,60,YR-MDI
2013/04/15,CIO,FVI,60,YR-MDI
2013/04/15,CIO,NDC,60,YR-MDI
2013/04/15,FGL,CND,60,YR-MDG
2013/04/15,PAG,SRS,60,YR-MDI
2013/04/15,FGL,CMR,60,YR-MDG
2013/04/15,PAG,IGI,60,YR-MDI
